"Add to Cart ","In den Einkaufswagen"
"Add to Wishlist","Auf den Wunschzettel"
"Address Book", "Mein Addressbuch"
"Apply Coupon", "einlösen"
"Availability","Verfügbarkeit"
"Be the first to review this product","Bewerten Sie jetzt diesen Artikel"
"Billing Information","Adresse"
"Browse Categories","Kategorien durchsuchen"
"Categories","Kategorien"
"Checkout Method", "Sichere Verbindung"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Klicken Sie hier</a>, um die Bestellbestätigung auszudrucken."
"Click to Add new address","Klicken Sie hier, um eine neue Adresse anzulegen."
"Continue to Checkout","Weiter zur Kasse"
"Delivery in","Versand: "
"Delivery model dependent","Verfügbarkeit größenabhängig"
"Confirm Email Address", "E-Mail Adresse bestätigen"
"Continue","Weiter"
"Default welcome msg!","Willkommensnachricht!"
"Designed by ","Entworfen von "
"Discount (%s)","%s"
"from ","ab "
"Go To Cart","Zum Einkaufswagen"
"Highest price","Preis absteigend"
"Home","Startseite"	
"Incl. %s Tax","inkl. %s MwSt."
"Items %s to %s of %s total","Zeige %s bis %s Artikel von %s Artikeln"
"Display result of <b>%</b>","Suchergebnisse für <b>%</b>"
"Display result of <b>%</b> instead","Suchergebnisse für <b>%</b> stattdessen"
"Last ordered items","Zuletzt bestellt"
"Loading more products, please be patient...","Neue Produkte werden geladen, bitte warten..."
"Load more items","Weitere Produkte anzeigen"
"Lowest price","Preis aufsteigend"
"Manufacturer's Suggested Retail Price","UVP"
"Manufacturer Infos","Herstellerinfo"
"More Info","Mehr Infos"
"More Information:","Weitere Informationen:"
"My Account","Konto"
"My Cart","Einkaufswagen"
"My Wishlist","Mein Wunschzettel"
"New on perfekt-schlafen.de","Neu auf perfekt-schlafen.de"
"Nickname","Name"
"On Sale on perfekt-schlafen.de","Im Angebot bei perfekt-schlafen.de"
"Order Review", "Bestätigung"
"Payment Information","Zahlungsart"
"Please confirm your addresses","Bitte überprüfen Sie Ihre Adresse"
"Please agree to all the terms and conditions before placing the order.","Für die kostenpflichtige Bestellung ist es zwingend notwendig, dass Sie unsere AGB, Datenschutzerklärung und Widerrufsbelehrung bestätigen."
"Please wait...","Bitte warten..."
"Place Order","Jetzt kaufen"
"Popularity","Beliebtheit"
"prefix","Anrede" 
"Price:","Preis:"
"Product Name","Artikelname"
"Qty","Menge"
"Regular Price:","statt"
"Related Products","Passend dazu"
"Remove item","Löschen"
"Retrieve your password here","Neues Passwort anfordern"
"Savings","Ersparnis"
"Search entire store here...","Wonach suchen Sie?"
"Select a billing address","Geben Sie eine Rechnungsadresse an"
"Select a payment method","Wählen Sie eine Zahlungsart"
"Select a shipping address","Geben Sie eine Versandadresse ein"
"Select a shipping method","Wählen Sie eine Versandart"
"Shipping Method","2. Versandart "
"Shopping Cart is Empty","Der Einkaufswagen ist leer"
"Sign Up for Newsletter","Ja, informieren Sie mich über Schlaftipps, Aktionen und Gutscheine per E-Mail. Die Abmeldung ist jederzeit möglich."
"Sign up for our newsletter","Melden Sie sich für unseren Newsletter an"
"Subtotal","Zwischensumme"
"Subtotal<wrapped>","Zwischen-<br>summe"
"The form could not be sent because of SPAM detection!","Das Formular konnte nicht gesendet warden, da der Verdacht auf Spam besteht."
"Unit Price","Einzelpreis"
"View All Search Results for <b>%</b>","Zeige alle Suchergebnisse für <b>%</b>"
"You have no items in your shopping cart.","Sie haben keine Artikel im Einkaufswagen."
"You have no items in your wishlist.","Sie haben keine Artikel auf Ihrem Wunschzettel."
